年度,月份,樣品編號,試驗項目,地點,pH,有機質,P2O5,K2O,CaO,MgO,EC,Fe,Mn,Cu,Zn,Pb,Cd,Ni,Cr,Na,Si
"2019","5","10805002","酪梨","0981	","6.17","6.85","1117.05","500.51","4590.62","362.60","0.19","260.22","134.81","5.85","14.61","3.15","未檢出","1.04","0.51","*","*"
"2019","5","10805003","蔬菜","0925	","6.83","3.64","1021.00","105.97","4803.69","197.05","0.14","497.47","142.39","68.63","58.72","3.30","未檢出","1.57","0.31","*","*"
"2019","5","10805004","荖葉","","6.61","3.67","742.65","119.26","6014.83","374.09","1.17","388.41","121.15","6.23","24.76","*","*","*","*","*","*"
"2019","5","10805005","番荔枝","蘭里段 69	","6.54","4.20","1240.95","294.80","5916.02","149.93","0.61","567.49","155.91","6.37","28.46","2.85","未檢出","2.42","0.56","*","*"
"2019","5","10805006","番荔枝","蘭里段 123	","6.42","3.97","1074.15","190.62","3129.15","138.65","0.33","742.16","78.27","6.31","21.68","4.74","未檢出","1.76","0.86","*","*"
"2019","5","10805007","","","7.62","3.63","18.20","69.27","8767.16","161.26","0.19","444.03","89.54","3.04","5.66","*","*","*","*","*","*"
"2019","5","10805008","","","7.77","3.57","17.24","91.07","11256.52","199.35","0.19","452.38","94.82","3.05","7.55","*","*","*","*","*","*"
"2019","5","10805009","番荔枝","新香蘭	","5.87","6.40","1258.15","170.32","2981.71","144.86","0.13","806.39","63.42","4.86","27.40","*","*","*","*","*","*"
"2019","5","10805010","番荔枝","新香蘭	","5.86","5.79","1269.50","174.47","4034.68","172.61","0.18","701.68","76.58","5.64","38.59","*","*","*","*","*","*"
"2019","5","10805011","水稻","真柄段 825-3、823-5；城子埔段 196、198	","6.00","4.48","13.33","97.32","2751.43","915.68","0.08","824.30","59.21","7.37","1.41","0.76","未檢出","1.67","1.19","*","*"
"2019","5","10805012","水稻","城子埔段 203、204、205	","5.71","4.84","7.57","86.53","2594.46","889.34","0.06","974.47","61.11","7.60","0.94","0.78","未檢出","1.89","1.32","*","*"
"2019","5","10805013","水稻","中柄段 519	","5.37","4.33","7.89","78.75","2082.69","895.07","0.07","1125.77","24.37","8.48","63.63","0.93","未檢出","2.43","1.19","*","*"
"2019","5","10805014","水稻","真柄段 717	","5.29","4.48","6.79","49.24","1166.94","387.08","0.07","2474.80","158.13","6.31","1.91","6.69","未檢出","2.78","1.66","*","*"
"2019","5","10805015","水稻","豐里段 0538-0000	","5.69","4.52","191.41","54.89","1376.39","161.89","0.13","1281.91","16.28","9.57","9.36","*","*","*","*","*","*"
"2019","5","10805016","水稻","豐康段 0317-0000	","6.43","4.71","139.41","50.57","2507.05","157.84","0.26","1146.66","41.81","7.42","7.84","*","*","*","*","*","*"
"2019","5","10805017","水稻","知本段 7382-0000	","6.99","4.75","126.66","56.58","4776.48","275.18","0.30","1543.02","111.58","9.45","13.38","*","*","*","*","*","*"
"2019","5","10805018","水稻","豐樂段 2709-0000	","6.25","4.88","283.88","48.84","1216.20","139.66","0.16","612.66","5.01","6.11","5.41","*","*","*","*","*","*"
"2019","5","10805019","水稻","豐源段 0007-0000	","7.19","4.98","80.12","53.73","7501.28","300.14","0.29","1296.56","144.78","6.07","12.58","*","*","*","*","*","*"
"2019","5","10805020","水稻","知本段 7353-0000	","6.30","4.69","262.53","57.61","1903.87","175.06","0.26","1388.03","62.77","10.39","31.45","*","*","*","*","*","*"
"2019","5","10805021","水稻","知本段 7079-0000	","7.15","4.26","40.55","38.63","12323.09","235.21","0.42","955.16","156.11","4.70","6.14","*","*","*","*","*","*"
"2019","5","10805022","水稻","大豐段 0090-0000	","7.27","4.90","103.54","48.25","7440.47","305.50","0.44","1408.63","179.64","6.36","11.90","*","*","*","*","*","*"
"2019","5","10805023","水稻","大豐段 0014-0000	","7.42","4.60","128.86","67.64","6579.79","313.30","0.32","1792.65","137.97","7.41","9.12","*","*","*","*","*","*"
"2019","5","10805024","茶","0201	","7.34","4.15","753.25","61.31","2318.82","90.34","0.07","320.49","55.65","3.86","27.04","3.36","未檢出","0.72","0.59","*","*"
"2019","5","10805025","荖葉","香蘭段	","6.88","3.48","686.05","114.36","4055.62","157.95","0.39","572.29","111.67","13.45","14.39","*","*","*","*","*","*"
"2019","5","10805026","荖葉","香蘭段	","7.33","3.41","624.03","24.74","2410.87","85.93","0.11","638.96","75.87","10.87","12.59","*","*","*","*","*","*"
"2019","5","10805027","荖葉","知本段 7842-000	","7.28","4.11","1106.60","39.99","4697.64","196.55","0.09","476.93","130.89","14.57","37.68","*","*","*","*","*","*"
"2019","5","10805028","荖葉","知本段 7983-0001	","7.09","4.51","414.63","435.58","10579.68","337.95","0.92","566.75","245.89","2.72","16.79","*","*","*","*","*","*"
"2019","5","10805029","苦茶","後湖段 0374	","7.31","5.51","343.87","294.49","3196.78","192.40","0.10","398.78","137.43","7.60","11.12","*","*","*","*","*","*"
"2019","5","10805030","苦茶","後湖段 0374	","7.33","4.95","303.12","181.04","3121.92","172.50","0.08","363.44","128.72","10.74","9.60","*","*","*","*","*","*"
"2019","5","10805031","印加果","中清段 29 號	","6.78","3.70","297.38","34.20","1531.79","138.13","0.04","442.14","57.94","8.63","4.40","3.61","未檢出","1.24","0.18","*","*"
"2019","5","10805032","荖葉","","6.32","3.74","1065.90","73.09","3465.98","146.37","0.21","465.24","77.78","19.12","22.88","*","*","*","*","*","*"
"2019","5","10805033","百香果、草莓、地瓜葉","豐川段 0900-0000	","7.31","4.78","53.40","200.84","16166.13","560.94","0.24","384.04","189.96","2.51","8.16","1.45","未檢出","2.14","0.35","*","*"
"2019","5","10805034","水稻","馬稼海段 52 號	","6.56","4.80","30.00","111.76","2147.69","440.64","0.10","515.84","53.60","4.25","3.80","1.55","未檢出","1.30","1.45","*","*"
"2019","5","10805035","木瓜、酪梨","城仔埔段 21 號	","6.69","4.48","59.52","236.10","968.01","215.14","0.04","77.50","10.53","1.36","1.40","1.29","未檢出","0.03","0.43","*","*"
"2019","5","10805036","水稻","中柄段 519	","5.71","4.09","8.89","70.66","2202.82","843.06","0.05","1029.80","79.51","7.18","1.87","1.03","未檢出","3.02","1.23","*","*"
"2019","5","10805037","水稻","中柄段 519	","5.40","4.60","8.50","113.27","2742.95","1067.91","0.09","1208.76","48.48","9.54","71.88","1.07","未檢出","3.39","1.69","*","*"
"2019","5","10805038","紅龍果","豐聖段 643-2	","7.21","7.32","1734.05","693.09","17046.43","790.07","0.43","192.05","174.18","13.18","198.61","2.55","未檢出","0.91","0.35","*","*"
"2019","5","10805039","紅龍果","利家段 6946	","7.02","5.97","1431.55","304.00","12308.04","424.27","0.34","397.75","114.19","13.42","103.06","2.20","未檢出","1.06","0.49","*","*"
"2019","5","10805040","紅龍果","利家段 7186	","6.88","6.79","1667.55","539.01","15381.65","899.96","0.60","284.22","137.98","30.66","174.34","*","*","*","*","*","*"
"2019","5","10805041","紅龍果","利家段 7197	","7.12","5.32","1509.70","198.40","10499.69","406.65","0.21","307.63","111.42","31.46","95.81","*","*","*","*","*","*"
"2019","5","10805042","紅龍果","豐聖段 643	","7.07","5.22","1493.50","110.64","14677.27","569.15","0.26","320.10","153.07","27.65","117.40","*","*","*","*","*","*"
"2019","5","10805043","紅龍果","康樂段 464-3	","7.00","6.60","1635.30","227.25","14050.78","597.93","0.32","273.80","122.74","23.00","144.71","*","*","*","*","*","*"
"2019","5","10805044","紅龍果","康樂段 464	","6.66","5.51","1431.05","284.57","9586.38","376.18","0.46","308.43","94.33","30.21","124.51","*","*","*","*","*","*"
"2019","4","10804009","荖葉","","6.93","2.66","762.40","236.82","3718.09","203.65","0.23","275.35","79.15","12.86","34.94","1.91","未檢出","1.00","0.13","*","*"
"2019","4","10804010","荖葉","","6.90","1.97","496.32","193.09","1334.98","87.48","0.28","259.20","59.93","9.77","15.10","1.61","未檢出","0.69","0.11","*","*"
"2019","4","10804011","目前未種（要種杭菊）","建東	","5.94","3.45","218.51","72.67","587.33","76.74","0.08","449.93","2.42","5.88","2.20","*","*","*","*","*","*"
"2019","4","10804012","目前未種（要種杭菊）","建東	","5.34","3.78","434.28","125.78","828.44","130.86","0.26","470.24","4.35","7.14","4.03","*","*","*","*","*","*"
"2019","4","10804013","目前未種（要種杭菊）","建東	","5.68","3.15","400.68","81.71","752.18","104.23","0.09","448.85","4.60","6.55","3.58","*","*","*","*","*","*"
"2019","4","10804014","百香果","樂山 426	","5.71","3.83","99.50","107.94","807.45","165.01","0.07","288.78","38.38","2.14","2.16","4.53","未檢出","0.27","0.05","*","*"
"2019","4","10804015","番石榴","樂山 426-2	","5.85","3.71","123.29","337.56","716.51","104.99","0.04","184.14","14.88","2.31","0.92","3.29","未檢出","0.09","未檢出","*","*"
"2019","4","10804016","檸檬","樂山 426-3	","4.77","4.61","16.28","40.26","166.99","35.06","0.03","226.33","21.34","3.27","0.68","3.66","未檢出","0.33","未檢出","*","*"
"2019","4","10804021","香檬","利家 4433	","6.44","4.94","60.41","175.16","1318.55","247.90","0.05","183.58","61.12","1.60","1.97","2.21","未檢出","0.69","未檢出","*","*"
"2019","4","10804022","梅子","關山鎮電光里新日出段  432、434、435、 436、438	","6.46","5.59","51.76","132.45","3305.83","697.05","0.06","155.93","31.57","1.77","1.64","1.00","未檢出","0.80","0.18","*","*"
"2019","4","10804025","橄欖","成功鎮大濱段重安小段 237	","5.48","3.76","9.71","85.97","1108.36","436.47","0.05","380.47","16.61","1.98","1.41","2.76","未檢出","1.75","0.68","*","*"
"2019","4","10804026","咖啡、印加果、無患子","達仁鄉新化小段 16 號	","5.25","7.21","16.90","136.73","564.07","147.59","0.05","181.71","52.58","0.91","0.96","2.74","未檢出","0.38","未檢出","*","*"
"2019","4","10804027","咖啡、印加果、無患子","達仁鄉新化小段 16 號	","4.36","6.14","7.81","51.99","46.96","31.63","0.05","82.34","18.10","0.49","0.74","2.12","未檢出","0.26","未檢出","*","*"
"2019","4","10804028","要種印加果","豐航 192	","6.11","2.36","616.92","32.42","2210.35","117.87","0.46","322.63","45.57","6.17","15.45","1.65","未檢出","1.27","0.03","*","*"
"2019","4","10804030","檬果","台拉 173	","7.02","3.13","352.57","202.77","1722.16","190.41","0.05","254.61","54.90","2.13","8.29","1.98","未檢出","0.70","未檢出","*","*"
"2019","4","10804031","番荔枝","後湖	","5.30","4.08","504.50","133.44","687.13","122.06","0.12","87.01","18.48","0.82","1.63","*","*","*","*","*","*"
"2019","4","10804032","番荔枝","後湖	","4.30","3.77","603.85","100.25","235.00","58.55","0.09","161.96","7.72","1.00","0.67","*","*","*","*","*","*"
"2019","4","10804033","酪梨","新園段 38	","7.45","2.73","51.12","48.47","2929.83","177.92","0.18","704.81","127.63","3.41","3.04","*","*","*","*","*","*"
"2019","4","10804034","番荔枝","新園段 38-1	","7.07","2.62","165.64","31.18","930.03","88.82","0.08","422.09","67.73","2.99","3.15","*","*","*","*","*","*"
"2019","4","10804035","休耕","豐聖段 893	","6.66","2.69","105.12","76.63","725.83","89.52","0.06","311.71","51.92","2.67","1.45","2.05","未檢出","1.22","未檢出","*","*"
"2019","4","10804036","鳳梨釋迦","利泰 188(A)	","6.58","2.65","189.80","77.85","947.83","146.44","0.06","411.65","76.47","4.93","5.13","2.80","未檢出","1.50","未檢出","*","*"
"2019","4","10804037","番荔枝（大目）","利泰 188(B)	","5.62","2.93","510.82","125.12","997.59","98.49","0.12","320.27","53.41","4.52","8.03","3.18","未檢出","1.11","未檢出","*","*"
"2019","4","10804038","番荔枝（大目）","利泰 189	","6.41","3.16","574.73","110.28","1833.25","146.43","0.10","536.55","74.04","3.75","9.88","2.94","未檢出","1.47","0.05","*","*"
"2019","4","10804039","鳳梨釋迦","利家 6510	","6.91","3.74","622.80","173.54","2256.68","155.46","0.12","450.04","51.68","2.95","7.08","*","*","*","*","*","*"
"2019","4","10804040","番荔枝（大目）","利家 6510	","7.18","3.02","155.66","145.97","2269.35","184.83","0.19","573.96","108.66","7.79","13.98","*","*","*","*","*","*"
"2019","4","10804041","鳳梨釋迦","知本 7208	","6.89","3.03","47.07","76.37","842.26","121.91","0.06","209.25","46.71","2.92","1.69","*","*","*","*","*","*"
"2019","4","10804042","番荔枝","新園 814 號	","4.98","2.41","372.82","127.79","381.84","64.06","0.29","355.24","63.14","2.42","2.26","*","*","*","*","*","*"
"2019","4","10804043","無","富岡 883-3	","7.99","4.11","123.08","232.05","12883.87","386.87","0.19","257.57","128.18","4.87","12.70","3.60","未檢出","1.17","0.45","*","*"
"2019","4","10804044","玫瑰","新大馬段 482	","6.58","3.65","44.72","251.34","2080.46","870.45","0.06","579.79","28.47","3.21","6.34","1.91","未檢出","3.28","0.68","*","*"
"2019","4","10804045","玫瑰","新大馬段 483	","6.28","4.24","41.85","233.10","1880.98","797.76","0.06","601.11","22.53","3.00","4.77","2.12","未檢出","3.49","0.72","*","*"
"2019","4","10804046","玫瑰","新大馬段 485	","6.98","5.04","159.38","589.66","4710.14","1209.57","0.12","328.40","91.97","3.52","12.44","1.25","未檢出","3.37","0.53","*","*"
"2019","4","10804047","玫瑰","新大馬段 495	","6.72","3.90","168.91","382.96","2643.42","975.43","0.15","539.68","24.77","4.03","7.07","1.27","未檢出","4.89","0.78","*","*"
"2019","4","10804049","目前未種（新田地）","建康段 0185-0000	","6.05","2.41","61.89","42.06","563.57","47.92","0.03","423.56","6.76","4.85","3.34","4.67","未檢出","1.60","0.06","*","*"
"2019","4","10804050","目前未種（新田地）","建康段 0185-0000	","5.62","3.38","173.02","132.34","777.53","99.54","0.10","524.37","11.66","6.41","2.73","7.37","未檢出","1.80","0.15","*","*"
"2019","4","10804051","","","6.29","3.32","81.63","51.24","1224.30","125.41","0.03","516.20","231.45","10.27","4.03","2.74","未檢出","2.42","0.06","*","*"
"2019","4","10804052","","","6.14","3.54","143.47","72.11","1213.55","118.09","0.05","460.31","20.84","6.43","3.14","5.24","未檢出","1.58","0.07","*","*"
"2019","4","10804053","橘子","台東縣成功鎮小湊段美山小段 659，202 號	","7.25","7.88","281.08","578.23","7980.62","321.74","0.20","361.83","124.85","1.64","4.73","1.69","未檢出","2.02","0.75","*","*"
"2019","4","10804054","梅、李","關山鎮新日出段 387 號	","6.33","3.52","16.09","147.65","1833.82","410.03","0.03","132.40","8.46","1.01","0.26","1.78","未檢出","0.56","0.09","*","*"
"2019","4","10804055","梅、李","關山鎮日出段 686 號	","5.61","3.46","11.08","67.15","1634.74","397.99","0.03","218.03","11.42","1.17","0.94","1.87","未檢出","1.00","0.08","*","*"
"2019","4","10804056","梅、李","關山鎮日出段 698、700、705-2 號	","6.11","5.56","4.40","95.72","4539.84","1653.36","0.03","142.19","34.30","7.13","3.43","0.61","未檢出","1.67","0.25","*","*"
"2019","4","10804057","梅、李","關山鎮日出段 990 號	","6.57","3.29","6.17","28.61","2186.16","1834.66","0.02","316.22","27.87","3.15","0.79","0.27","未檢出","30.51","1.01","*","*"
"2019","4","10804059","薑黃","嘉蘭段 175	","6.14","5.92","146.53","418.45","2340.57","201.60","0.09","145.30","54.14","1.17","2.66","2.12","未檢出","0.49","未檢出","*","*"
"2019","4","10804060","薑黃","嘉新段 87	","5.85","4.75","79.90","188.05","993.51","159.49","0.06","178.02","48.73","0.89","1.53","3.16","未檢出","0.12","未檢出","*","*"
"2019","4","10804066","番荔枝","荒野段 302	","5.54","2.82","508.30","57.93","1275.02","83.75","0.09","546.42","29.02","8.28","9.70","5.57","未檢出","1.45","0.23","*","*"
"2019","4","10804067","番荔枝","荒野段 302-1	","6.10","3.19","418.57","35.62","1982.63","107.37","0.06","615.11","64.55","6.63","8.32","4.31","未檢出","1.88","0.26","*","*"
"2019","4","10804068","番荔枝","荒野段 303	","5.76","2.44","373.17","81.11","1272.53","88.36","0.13","579.95","72.64","7.39","5.19","5.72","未檢出","1.33","0.20","*","*"
"2019","4","10804069","番荔枝","荒野段 341	","5.75","2.26","425.68","22.12","646.29","55.01","0.03","428.36","19.88","3.58","3.58","2.27","未檢出","0.67","0.09","*","*"
"2019","4","10804070","番荔枝","荒野段 342	","6.18","2.98","575.08","39.39","1830.51","100.85","0.08","700.25","50.40","3.81","5.04","2.99","未檢出","1.69","0.29","*","*"
"2019","4","10804071","番荔枝","荒野段 348	","6.52","2.86","420.18","19.74","1912.47","143.14","0.08","805.73","38.96","5.07","6.64","5.66","未檢出","1.42","0.26","*","*"
"2019","4","10804072","番荔枝","荒野段 349	","5.29","2.47","395.80","81.74","752.81","118.55","0.08","812.58","21.47","3.97","3.74","5.16","未檢出","1.50","0.46","*","*"
"2019","4","10804073","番荔枝","建和段 274	","6.01","4.00","162.15","209.24","1528.40","161.63","0.10","451.14","69.37","6.20","3.06","4.01","未檢出","1.83","0.14","*","*"
"2019","4","10804074","番荔枝","建和段 254	","6.56","2.86","273.07","31.46","1644.57","63.42","0.06","370.98","39.21","5.79","2.90","4.22","未檢出","0.98","0.10","*","*"
"2019","4","10804075","番荔枝","建和段 255	","6.14","3.33","174.13","63.91","1448.98","114.74","0.14","610.44","41.48","5.25","2.54","5.37","未檢出","1.39","0.27","*","*"
"2019","4","10804076","番荔枝","康樂段 902	","6.79","3.61","276.20","66.16","2687.59","176.37","0.14","683.35","90.82","4.49","10.18","2.94","未檢出","2.78","0.07","*","*"
"2019","4","10804077","番荔枝","康樂段 902-01	","7.22","4.41","160.75","32.67","3232.77","219.12","0.17","669.96","103.70","4.93","9.25","2.86","未檢出","3.14","0.04","*","*"
"2019","4","10804078","番荔枝","康樂段 902-02	","7.11","3.04","333.00","54.40","3183.26","155.62","0.27","584.11","104.70","3.06","8.05","2.55","未檢出","2.46","0.04","*","*"
"2019","4","10804079","番荔枝","阿都蘭 172	","6.61","5.70","196.87","840.10","2914.95","574.57","0.11","272.61","84.72","2.39","4.36","0.57","未檢出","0.94","0.74","*","*"
"2019","4","10804080","牛番茄","","6.19","2.67","216.62","110.32","1006.96","128.75","0.11","372.85","44.36","4.84","4.39","*","*","*","*","*","*"
"2019","4","10804081","香蕉","","6.23","2.42","81.95","47.91","785.01","112.37","0.06","403.33","70.70","4.22","2.06","*","*","*","*","*","*"
"2019","4","10804082","番荔枝","利吉 191	","6.72","3.39","384.90","129.36","2577.89","394.18","0.07","577.06","42.18","7.98","14.10","*","*","*","*","*","*"
"2019","4","10804083","鳳梨釋迦","高原段 1778	","6.32","5.06","149.76","639.87","3603.68","1037.15","0.06","256.25","54.52","4.66","7.64","*","*","*","*","*","*"
"2019","4","10804084","","台東市建康段 0017、0018知本段 7931	","6.08","2.39","383.80","27.37","971.21","98.20","0.14","472.08","44.62","3.48","3.60","2.82","未檢出","1.14","0.11","*","*"
"2019","4","10804085","","建華段 584、585、593、594、595、600、 599、610、608	","5.05","4.32","654.33","95.87","1168.53","114.10","0.11","853.30","36.41","3.74","5.04","3.64","未檢出","1.72","0.48","*","*"
"2019","4","10804086","紅蔾","知本段 6885	","4.98","3.98","80.95","91.22","1175.70","162.67","0.39","2146.86","36.30","7.98","4.13","13.87","未檢出","4.25","0.59","*","*"
"2019","4","10804087","紅蔾","知本段 6886	","5.23","4.31","217.68","73.47","1879.86","216.57","0.32","1902.27","44.61","7.96","5.55","8.84","未檢出","4.98","0.62","*","*"
"2019","4","10804088","紅蔾","知本段 6899	","4.62","4.20","104.08","74.56","1502.12","223.87","0.80","2147.62","47.22","8.35","8.02","14.94","未檢出","7.34","0.55","*","*"
"2019","4","10804089","紅蔾","知本段 6901	","5.31","3.42","57.62","115.81","1130.74","155.42","0.28","1957.29","58.26","6.39","2.21","9.80","未檢出","3.78","0.94","*","*"
"2019","4","10804090","","仙民段 173 號	","6.42","3.26","18.80","154.62","2850.79","537.12","0.06","451.11","33.52","5.00","4.02","*","*","*","*","*","*"
"2019","4","10804091","","仙民段 175 號	","6.27","4.46","19.28","78.52","2525.24","650.10","0.12","373.12","39.59","2.67","2.52","*","*","*","*","*","*"
"2019","4","10804092","","仙民段 176 號	","6.72","2.80","172.35","284.01","3141.16","562.38","0.08","437.20","78.57","5.19","3.40","*","*","*","*","*","*"
"2019","4","10804093","臍橙","新港小段 967 號	","6.98","5.12","121.46","459.83","17890.70","380.96","0.23","279.02","91.31","6.63","5.23","*","*","*","*","*","*"
"2019","4","10804094","臍橙","新港小段 971 號	","6.93","5.65","433.52","437.69","7577.54","263.67","0.23","212.64","482.37","4.88","10.23","*","*","*","*","*","*"
"2019","4","10804095","","新港芝田小段 0646-0006	","7.38","3.10","158.46","73.10","4143.34","447.98","0.20","575.47","103.55","2.89","4.60","*","*","*","*","*","*"
"2019","4","10804096","","三民段 900、229 之 2	","7.28","4.25","269.70","256.04","3789.52","296.50","0.08","194.67","45.03","4.84","11.23","*","*","*","*","*","*"
"2019","4","10804097","水果","中濱段掃別小段 502、503	","7.29","5.62","116.82","206.73","5342.74","741.71","0.16","403.79","63.79","2.25","2.39","2.15","未檢出","2.01","1.01","*","*"
"2019","4","10804098","水果","中濱段掃別小段 656	","7.42","2.85","42.86","141.99","3384.33","1132.44","0.09","506.05","75.46","3.81","2.38","1.93","未檢出","2.83","0.76","*","*"
"2019","4","10804099","水果","中濱段掃別小段 418、419、420	","6.16","4.42","15.20","140.74","2573.97","1000.15","0.05","234.43","41.96","1.83","1.10","1.96","未檢出","1.36","0.20","*","*"
"2019","4","10804100","","中濱段掃別小段 657	","6.12","4.01","20.80","159.49","3714.57","1025.40","0.09","289.74","53.18","2.31","1.43","1.47","未檢出","1.30","0.33","*","*"
"2019","4","10804101","","中濱段掃別小段 509、511	","7.12","4.33","162.32","363.22","3506.63","1059.72","0.11","620.48","87.06","3.99","5.36","2.03","未檢出","4.16","0.55","*","*"
"2019","4","10804102","","中濱段掃別小段 656	","7.13","2.86","36.84","140.81","3615.06","1417.62","0.05","477.45","52.86","4.63","2.18","1.68","未檢出","2.36","0.52","*","*"
"2019","4","10804103","番荔枝","新園段 00786-001	","5.84","4.13","753.45","167.15","2753.85","158.12","0.16","424.94","71.57","3.61","16.44","2.76","未檢出","4.62","0.36","*","*"
"2019","4","10804104","番荔枝","建華段 209 號	","6.20","3.11","520.88","78.27","1478.27","124.06","0.12","486.72","124.34","4.71","12.43","*","*","*","*","*","*"
"2019","4","10804105","番荔枝","建華段 208 號	","3.91","2.51","617.90","110.61","218.66","70.98","0.16","922.28","28.01","2.91","2.18","*","*","*","*","*","*"
"2019","3","10803001","水稻			","鹿野鄉永安段 0120-0005						","7.88","3.25","55.66","30.20","4914.31","210.77","0.22","914.49","94.77","7.14","3.85","6.27","未檢出","4.37","0.10","*","*"
"2019","3","10803002","水稻			","鹿野鄉永安段0120-0007		","6.77","3.64","189.67","47.38","908.94","108.93","0.08","441.75","12.30","3.98","1.98","4.76","未檢出","0.92","0.00","*","*"
"2019","3","10803003","水稻			","鹿野鄉永安段 0120-0006						","6.23","3.11","176.09","37.75","723.48","105.24","0.14","459.60","12.29","4.68","2.12","6.49","未檢出","1.22","0.06","*","*"
"2019","3","10803004","柑橘、洛神花			","鹿野鄉中華段 0898-0003						","5.98","4.06","121.26","97.16","447.96","105.19","0.09","143.10","23.49","2.05","未檢出","1.76","未檢出","0.07","未檢出","*","*"
"2019","3","10803005","番茄		","卑南鄉富山段 0057-B01					","7.56","4.11","778.90","269.40","3750.21","280.79","0.12","115.71","93.93","4.77","12.99","*","*","*","*","*","*"
"2019","3","10803006","翼豆		","卑南鄉富山段 0057-B02					","7.60","4.30","622.80","260.79","3886.38","308.88","0.12","138.37","122.56","4.96","13.57","*","*","*","*","*","*"
"2019","3","10803007","翼豆		","卑南鄉富山段 0057-B03					","7.75","4.13","778.90","235.28","3654.26","308.55","0.10","121.08","98.86","5.68","14.02","*","*","*","*","*","*"
"2019","3","10803008","愛玉			","","6.08","3.07","159.47","73.50","272.62","61.65","0.04","300.35","33.63","5.71","2.40","1.91","未檢出","2.00","未檢出","*","*"
"2019","3","10803009","愛玉			","","7.12","3.65","692.50","139.19","1572.45","132.72","0.08","150.81","64.19","3.86","4.75","1.26","未檢出","0.97","未檢出","*","*"
"2019","3","10803010","番荔枝					","東市建和段 281.282.284.285286.424.425							","6.70","4.33","139.29","273.59","785.07","174.94","0.06","277.26","73.29","3.09","2.05","1.76","未檢出","0.91","未檢出","*","*"
"2019","3","10803011","番荔枝					","射馬干段 145 內							","6.26","3.18","625.03","71.29","1044.00","74.80","0.05","330.00","16.13","3.55","9.68","1.42","未檢出","0.80","未檢出","*","*"
"2019","3","10803012","咖啡		","無					","6.97","2.64","153.03","180.93","2000.66","372.05","0.05","204.22","63.37","3.74","0.56","*","*","*","*","*","*"
"2019","3","10803013","咖啡		","無					","7.02","3.08","74.31","93.59","1347.13","354.31","0.04","312.62","12.00","3.10","1.59","*","*","*","*","*","*"
"2019","3","10803014","咖啡		","無					","6.71","2.83","22.84","113.39","1284.29","384.54","0.04","71.09","18.95","3.67","0.11","*","*","*","*","*","*"
"2019","3","10803015","咖啡		","無					","7.33","3.56","181.22","169.35","1710.16","430.95","0.05","274.56","30.28","3.32","1.45","*","*","*","*","*","*"
"2019","3","10803016","咖啡		","無					","7.38","2.60","67.86","155.33","2051.10","367.24","0.05","203.15","60.26","3.94","0.63","*","*","*","*","*","*"
"2019","3","10803017","咖啡		","無					","7.95","2.17","34.78","287.07","3663.50","316.23","0.10","285.03","51.86","2.92","0.33","*","*","*","*","*","*"
"2019","3","10803018","甘蔗			","興隆段 360-1						","6.29","3.83","49.79","165.50","644.37","325.16","0.05","271.93","3.35","2.19","1.25","未檢出","未檢出","0.52","0.25","*","*"
"2019","3","10803020","番荔枝		","","6.05","4.21","1036.50","145.45","2095.16","121.35","0.16","217.67","57.08","1.62","11.42","*","*","*","*","*","*"
"2019","3","10803022","檬果		","下賓朗段					","6.26","2.33","357.40","75.22","395.45","69.24","0.05","202.81","40.31","3.36","1.41","*","*","*","*","*","*"
"2019","3","10803023","番荔枝		","下賓朗段					","5.55","2.63","376.38","132.67","263.73","56.13","0.03","141.62","44.55","2.48","3.56","*","*","*","*","*","*"
"2019","3","10803024","番荔枝		","下賓朗段					","4.79","2.04","494.88","101.23","74.10","36.22","0.06","282.62","20.24","4.51","1.49","*","*","*","*","*","*"
"2019","3","10803025","草				","三塊厝 179-3							","5.75","2.47","4.68","59.98","56.61","55.27","0.03","42.96","43.80","0.07","未檢出","2.91","未檢出","未檢出","未檢出","*","*"
"2019","3","10803026","蔬菜類				","三塊厝 179-3							","5.23","3.90","27.08","92.31","299.20","52.79","0.09","46.62","42.20","0.19","未檢出","2.84","未檢出","未檢出","未檢出","*","*"
"2019","3","10803027","水果類				","三塊厝 179-3							","6.04","4.87","12.30","230.54","450.05","122.29","0.10","79.04","70.63","0.77","0.14","2.45","未檢出","0.04","未檢出","*","*"
"2019","3","10803028","花卉類				","三塊厝 179-3							","5.04","2.93","16.23","98.80","93.74","59.67","0.07","27.42","37.31","0.27","0.07","2.90","未檢出","未檢出","未檢出","*","*"
"2019","3","10803029","水果類				","三塊厝 179-2							","5.03","4.06","27.00","123.67","187.19","47.22","0.09","38.54","21.06","0.15","未檢出","3.25","未檢出","未檢出","未檢出","*","*"
"2019","3","10803030","花卉類				","三塊厝 179-2							","4.81","3.87","22.23","81.96","128.84","73.46","0.74","54.01","43.09","0.34","未檢出","3.15","未檢出","未檢出","未檢出","*","*"
"2019","3","10803031","水果類				","三塊厝 179-2							","5.50","4.32","22.00","218.74","331.46","147.72","0.11","51.78","58.83","0.81","0.91","2.78","未檢出","0.11","未檢出","*","*"
"2019","3","10803033","番荔枝		","八里段					","5.85","1.83","383.65","240.77","619.88","116.21","0.06","153.62","未檢出","0.49","0.68","*","*","*","*","*","*"
"2019","3","10803034","番荔枝		","八里段					","4.86","3.58","822.65","395.02","1249.08","166.52","0.39","258.77","17.13","2.42","7.31","*","*","*","*","*","*"
